"city","description","title","age","state","posting-date","location","review-id"
"ALBUQUERQUE","Im NeNeI Can Please YouAll Your NeedsSittin Pretty 53 125Lbs Pretty Face Cute Waist100SweetCleanDiscrete100RealIndependent100Satisfaction EveryTime UPSCALE GENTLEMEN ONLY AVAILABLE NOW FOR OUTCALL NO AA MENSerious Callers Only PleaseLETS HAVE SOME FUN","I Will Have Your Mind At EaseReal SassySweet","21","NM","12 hour","ALBUQUERQUE NM","2787892"
"NORFOLK","I GUARANTEE what you see is what you get Let me cater 2 you Provide A 5 Experience you deserve Sexy Addictive Always Ready For Fun EXOTiCPartyGiRL Sweet Clean Discreet I Have A Bubbly Personality Way BEAUTIFUL In Person ME From the Moment we meet you will be the CENTER OF MY ATTENTION Ladii foreign Call now","Ladii Foreign is a gentleman best friend Ask about 2 girl specials","29","VA","1 day","NORFOLK VA","2800392"
"TUSCALOOSA","Theres so many magnificent things concerning a nice azz1The sight2The softness3The bouncing4The temptationTake your pick and give me a call available 247 Khloe WARNING HIGHLY ADDICTIVE Trucker Friendly Outcall only tonight","Sweetness is My WeaknessService delivered to U With A Smileavailable 247 50qv","27","AL","51 min","TUSCALOOSA AL","2782528"
"SAINT LOUIS","Hi Gentleman I am the ultimate full figured companion for all your plus size pleasures I am a gorgeous curvy BBW with 44DDDs a BIG BOOTY that will satisfy anyone sinful deisires I love to pleaseLet me relax youLet me give your body exactly what it needs Im very friendly love to smile and serve you the way you need to be served PreBook only text if I dont answer I do have a life Amber Review id 199263","Lady of the night 44DDD Brunette BBW Let make magic Classic Beauty","23","MO","1 day","SAINT LOUIS MO","2789027"
"HOUSTON","Hi I am Asian Yoyo 23 yrs oldsexy petite hot and very friendly All natural beauty Service No rush serviceRelax after a long day of work with a massage I am Chinese girlI am 54 105 lbs with amazing measurement34D2434Ask me about my SPECIALS Phone Call Chinese YoyoOutcall Only","Houston Outcall Only Call Busty Chinese Girl Beautiful Yoyo","46","TX","2 day","HOUSTON TX","2646617"
"AUSTIN","Release the days stress Voluptuous 40DDD naturals Think about it call DO NOT TEXT Lilly 120hhr 180hr 1 HOUR notice please Daytime NO outcall NO habla Espanolfetish foot feet tech Lakeway cougar milf mature Domain lesbian Pflugerville Round Wells Dessau Lamar Windsor North McNeill busty","Mature discreet residential Incall 120180","22","TX","23 hour","AUSTIN TX","2640516"
"AUSTIN","Im reviewed IF NOT ME THEN FREE That how sure I am youll love me DISCREET fun NO DRAMAStunning face perfect natural body the TOTAL package Even MORE beautiful in person Also Im very adorable charming ONLY respectful gentlemen will be tolerated By contacting me you legally are agreeing that youre NOT whatsoever affiliated wany law enforcement agencies NO AA Lyla LIMITED TIME CPL SPECIAL Multiple hrs available","New in town Eccie specials Tight Classy but freaky Couples Lyla the adorable","22","TX","23 hour","AUSTIN TX","2640517"
"WICHITA","Hey guys it Yazmine and Im ready to have fun Im tall light skin and ready to explode If u wanna taste some caremel Im ready to give you what u needNo rush time NO AA100hhr200hr Please be ready at time of call","Hey it Yazmine and Im back in town","26","KS","1 day","WICHITA KS","2679112"
"DETROIT","Amber MarieHonestCleanDiscreetFriendlyOpen mindedDDD FreeIncalls80ss 100hh1302x160hr outcalls130ss 150hh200hr Now accepting Debit CardsCC payments small fee DO NOT CALL TO ASK ABOUT MY RATES WHEN THEYRE LISTED IN THE AD I WILL TERMINATE THE CALL absolutely NO TEXTING","Southfield specials all night 60ss 80hh","18","MI","1 day","DETROIT MI","2691726"
"DETROIT","Im Available for outs Melony shaped like Glory 1 50qv 60ss 100hh 200h NO LAW YOU WILL BE SCREENED","UPSCALEmenONLY urbanprincessMelony","22","MI","12 min","DETROIT MI","2694281"
"NEWARK","GRAND OPENINGWalk in and appointment WELCOMETake A Journey To An Oriental ParadiseReceive a stress relieving Full Body MassageNew Arrived Pretty Asian StaffProfassional massage table in a private room soft lights and musicwill give you the best environment that you cant find anywhere else Free Table Shower Swedish Deep Tissue Oil PressureCall us right now Open 7days 1000am1100pm","New arrived today Newark Call us Now"," ","DE","2 day","NEWARK DE","2699975"
